X;Y
95.32;49.05
93.48;49.72
93.06;49.87
91.25;50.63
89.45;51.38
89.03;51.55
87.27;52.40
85.50;53.24
85.09;53.44
83.37;54.36
81.65;55.30
81.24;55.51
79.57;56.52
77.89;57.54
77.50;57.78
75.87;58.87
74.25;59.96
73.86;60.22
72.29;61.40
70.72;62.57
70.35;62.85
68.84;64.10
67.33;65.35
66.96;65.65
65.52;66.97
64.07;68.29
63.72;68.61
62.34;70.00
60.96;71.39
60.62;71.74
59.31;73.19
58.00;74.65
57.67;75.01
56.43;76.53
55.20;78.05
54.89;78.43
53.73;80.01
52.57;81.58
52.27;81.98
51.19;83.62
50.11;85.25
49.83;85.67
48.83;87.35
47.83;89.03
47.57;89.47
46.65;91.20
45.74;92.93
45.50;93.38
44.67;95.15
43.84;96.93
43.62;97.39
42.88;99.21
42.13;101.02
41.94;101.50
41.28;103.35
40.63;105.19
40.46;105.69
39.90;107.56
39.34;109.44
39.18;109.95
38.72;111.85
38.25;113.75
38.12;114.27
37.74;116.19
37.37;118.11
37.27;118.64
36.99;120.58
36.71;122.51
36.63;123.05
36.45;125.00
36.26;126.95
36.21;127.49
36.12;129.45
36.03;131.41
36.01;131.96
36.02;133.92
36.03;135.87
36.03;136.43
36.13;138.39
36.23;140.34
36.26;140.90
36.46;142.85
36.67;144.80
36.72;145.36
37.02;147.29
37.31;149.23
37.40;149.79
37.79;151.71
38.18;153.63
38.29;154.19
38.78;156.09
39.26;157.99
39.40;158.55
39.98;160.42
40.56;162.29
40.73;162.85
41.39;164.69
42.06;166.53
42.26;167.08
43.02;168.89
43.78;170.70
44.00;171.24
44.85;173.01
45.69;174.77
45.95;175.31
46.88;177.04
47.81;178.76
48.10;179.29
49.11;180.96
50.13;182.64
50.44;183.16
51.53;184.78
52.63;186.40
52.97;186.91
54.14;188.48
55.32;190.04
55.68;190.54
56.93;192.05
58.18;193.55
58.58;194.03
59.90;195.48
61.22;196.92
61.64;197.38
63.03;198.76
64.42;200.14
64.87;200.58
66.32;201.89
67.78;203.20
68.25;203.62
69.77;204.85
71.29;206.09
71.78;206.49
73.36;207.65
74.94;208.81
75.46;209.19
77.09;210.27
78.72;211.35
79.26;211.71
